"Add to Cart", "Купить"
"Add to Compare", "Добавить к сравнению"
"Add to Wish List", "В список желаний"
"Synchronize", "Синхронизировать"
"All rows have been deleted", "Все ячейки были очищенны"
"No rows have been deleted","Ячейки не были удалены"
"Synchronized successfully", "Успешно синхронизированно"
"Newpost is not responding or responding incorrectly","Новая почта не отвечет или отвечает не правльно"
"Synchronize with NP", "Синхронизировать с НП"
"Nova Poshta Shipping", "Новая Почта"
"Shipping cost", "Стоимость доставки"
"City NP", "Город НП"
"Synchronize with NP", "Синхронизировать с НП"
"Novaposhta Warehouse", "Отделения Новой Почты"
"City with id "%1" does not exist","Город под id "%1" не существует"
